Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2013М03,Број,111 Станови во објекти (згради) со еден стан,87
2013М03,Број,112 Станови во објекти (згради) со два и повеќе стана,502
2013М03,Број,12 Нестанбени згради,30
2013М03,Број,121 Хотели и слични згради,4
2013М03,Број,123 Згради во трговијата на големо и на мало,10
2013М03,Број,125 Индустриски згради и складишта,10
2013М03,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",3
2013М03,Број,127 Други нестанбени згради,3
2013М04,Број,11 Станови во станбени објекти (згради),391
2013М04,Број,111 Станови во објекти (згради) со еден стан,89
2013М04,Број,112 Станови во објекти (згради) со два и повеќе стана,302
2013М04,Број,12 Нестанбени згради,35
2013М04,Број,122 Деловни згради,3
2013М04,Број,123 Згради во трговијата на големо и на мало,9
2013М04,Број,124 Згради за сообраќај и други комуникации,2
2013М04,Број,125 Индустриски згради и складишта,18
2013М04,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",2
2013М04,Број,127 Други нестанбени згради,1
2013М05,Број,11 Станови во станбени објекти (згради),354
2013М05,Број,111 Станови во објекти (згради) со еден стан,91
2013М05,Број,112 Станови во објекти (згради) со два и повеќе стана,263
2013М05,Број,12 Нестанбени згради,33
2013М05,Број,121 Хотели и слични згради,1
2013М05,Број,122 Деловни згради,2
2013М05,Број,123 Згради во трговијата на големо и на мало,10
2013М05,Број,124 Згради за сообраќај и други комуникации,2
2013М05,Број,125 Индустриски згради и складишта,15
2013М05,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013М05,Број,127 Други нестанбени згради,2
2013М06,Број,11 Станови во станбени објекти (згради),199
2013М06,Број,111 Станови во објекти (згради) со еден стан,76
2013М06,Број,112 Станови во објекти (згради) со два и повеќе стана,123
2013М06,Број,12 Нестанбени згради,25
2013М06,Број,121 Хотели и слични згради,1
2013М06,Број,123 Згради во трговијата на големо и на мало,6
2013М06,Број,124 Згради за сообраќај и други комуникации,2
2013М06,Број,125 Индустриски згради и складишта,15
2013М06,Број,127 Други нестанбени згради,1
2013М07,Број,11 Станови во станбени објекти (згради),324
2013М07,Број,111 Станови во објекти (згради) со еден стан,62
2013М07,Број,112 Станови во објекти (згради) со два и повеќе стана,262
2013М07,Број,12 Нестанбени згради,25
2013М07,Број,121 Хотели и слични згради,1
2013М07,Број,122 Деловни згради,2
2013М07,Број,123 Згради во трговијата на големо и на мало,4
2013М07,Број,125 Индустриски згради и складишта,13
2013М07,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013М07,Број,127 Други нестанбени згради,4
2013M08,Број,11 Станови во станбени објекти (згради),218
2013M08,Број,111 Станови во објекти (згради) со еден стан,41
2013M08,Број,112 Станови во објекти (згради) со два и повеќе стана,177
2013M08,Број,12 Нестанбени згради,14
2013M08,Број,121 Хотели и слични згради,1
2013M08,Број,122 Деловни згради,1
2013M08,Број,123 Згради во трговијата на големо и на мало,4
2013M08,Број,124 Згради за сообраќај и други комуникации,1
2013M08,Број,125 Индустриски згради и складишта,4
2013M08,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013M08,Број,127 Други нестанбени згради,2
2013M09,Број,11 Станови во станбени објекти (згради),502
2013M09,Број,111 Станови во објекти (згради) со еден стан,35
2013M09,Број,112 Станови во објекти (згради) со два и повеќе стана,467
2013M09,Број,12 Нестанбени згради,13
2013M09,Број,123 Згради во трговијата на големо и на мало,7
2013M09,Број,124 Згради за сообраќај и други комуникации,1
2013M09,Број,125 Индустриски згради и складишта,4
2013M09,Број,127 Други нестанбени згради,1
2013M10,Број,11 Станови во станбени објекти (згради),347
2013M10,Број,111 Станови во објекти (згради) со еден стан,52
2013M10,Број,112 Станови во објекти (згради) со два и повеќе стана,295
2013M10,Број,12 Нестанбени згради,20
2013M10,Број,121 Хотели и слични згради,1
2013M10,Број,123 Згради во трговијата на големо и на мало,6
2013M10,Број,124 Згради за сообраќај и други комуникации,1
2013M10,Број,125 Индустриски згради и складишта,11
2013M10,Број,127 Други нестанбени згради,1
2013M11,Број,11 Станови во станбени објекти (згради),414
2013M11,Број,111 Станови во објекти (згради) со еден стан,92
2013M11,Број,112 Станови во објекти (згради) со два и повеќе стана,322
2013M11,Број,12 Нестанбени згради,37
2013M11,Број,122 Деловни згради,3
2013M11,Број,123 Згради во трговијата на големо и на мало,8
2013M11,Број,124 Згради за сообраќај и други комуникации,3
2013M11,Број,125 Индустриски згради и складишта,20
2013M11,Број,"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",1
2013M11,Број,127 Други нестанбени згради,2
2013M12,Број,11 Станови во станбени објекти (згради),336
2013M12,Број,111 Станови во објекти (згради) со еден стан,109
2013M12,Број,112 Станови во објекти (згради) со два и повеќе стана,227
